.Box: 24.9781454025390417,24.9781454025390417,24.9781454025390417
3.008073 9.808073 2.696073 @ 0.500000 C[0,0,1,1]
6.963073 9.617073 3.148073 @ 0.500000 C[0,0,1,1]
11.577073 9.336073 2.635073 @ 0.500000 C[0,0,1,1]
9.755073 3.131073 12.442073 @ 0.500000 C[0,0,1,1]
1.545073 10.390073 2.369073 @ 0.500000 C[0,0,1,1]
5.026073 10.089073 2.718073 @ 0.500000 C[0,0,1,1]
6.155073 10.349073 2.431073 @ 0.500000 C[0,0,1,1]
7.340073 10.607073 2.507073 @ 0.500000 C[0,0,1,1]
8.011073 10.039073 2.790073 @ 0.500000 C[0,0,1,1]
10.321073 10.463073 2.220073 @ 0.500000 C[0,0,1,1]
0.150073 0.347073 6.630073 @ 0.500000 C[0,0,1,1]
0.169073 3.281073 5.998073 @ 0.500000 C[0,0,1,1]
2.296073 10.970073 2.187073 @ 0.500000 C[0,0,1,1]
3.845073 11.285073 2.759073 @ 0.500000 C[0,0,1,1]
0.585073 7.898073 10.872073 @ 0.500000 C[0,0,1,1]
2.804073 12.153073 3.144073 @ 0.500000 C[0,0,1,1]
2.614073 12.017073 2.260073 @ 0.500000 C[0,0,1,1]
4.378073 12.172073 2.596073 @ 0.500000 C[0,0,1,1]
5.350073 12.077073 2.592073 @ 0.500000 C[0,0,1,1]
5.919073 11.153073 3.135073 @ 0.500000 C[0,0,1,1]
2.330073 11.768073 12.418073 @ 0.500000 C[0,0,1,1]
7.730073 11.176073 3.147073 @ 0.500000 C[0,0,1,1]
8.432073 10.718073 12.125073 @ 0.500000 C[0,0,1,1]
11.652073 11.732073 2.952073 @ 0.500000 C[0,0,1,1]
7.854073 3.438073 12.311073 @ 0.500000 C[0,0,1,1]
0.302073 1.355073 3.692073 @ 0.500000 C[0,0,1,1]
1.739073 1.110073 3.082073 @ 0.500000 C[0,0,1,1]
4.106073 2.134073 3.323073 @ 0.500000 C[0,0,1,1]
2.014073 2.063073 3.102073 @ 0.500000 C[0,0,1,1]
4.726073 2.790073 3.638073 @ 0.500000 C[0,0,1,1]
0.910073 3.363073 2.991073 @ 0.500000 C[0,0,1,1]
1.296073 2.561073 2.809073 @ 0.500000 C[0,0,1,1]
1.865073 3.384073 3.587073 @ 0.500000 C[0,0,1,1]
4.281073 3.515073 3.206073 @ 0.500000 C[0,0,1,1]
5.505073 3.103073 4.052073 @ 0.500000 C[0,0,1,1]
1.685073 4.082073 2.948073 @ 0.500000 C[0,0,1,1]
5.288073 4.702073 3.833073 @ 0.500000 C[0,0,1,1]
7.467073 3.704073 3.575073 @ 0.500000 C[0,0,1,1]
9.243073 4.681073 3.356073 @ 0.500000 C[0,0,1,1]
0.935073 4.969073 3.321073 @ 0.500000 C[0,0,1,1]
2.552073 5.224073 3.123073 @ 0.500000 C[0,0,1,1]
4.674073 5.152073 4.365073 @ 0.500000 C[0,0,1,1]
6.459073 5.394073 2.797073 @ 0.500000 C[0,0,1,1]
8.428073 5.700073 3.357073 @ 0.500000 C[0,0,1,1]
3.657073 5.858073 3.876073 @ 0.500000 C[0,0,1,1]
5.275073 6.315073 3.351073 @ 0.500000 C[0,0,1,1]
6.181073 5.990073 3.481073 @ 0.500000 C[0,0,1,1]
7.156073 5.657073 3.383073 @ 0.500000 C[0,0,1,1]
0.271073 6.430073 3.655073 @ 0.500000 C[0,0,1,1]
1.194073 6.638073 3.940073 @ 0.500000 C[0,0,1,1]
2.665073 7.163073 3.372073 @ 0.500000 C[0,0,1,1]
6.916073 6.653073 4.190073 @ 0.500000 C[0,0,1,1]
0.897073 7.373073 3.160073 @ 0.500000 C[0,0,1,1]
3.457073 7.053073 3.860073 @ 0.500000 C[0,0,1,1]
4.152073 6.435073 3.367073 @ 0.500000 C[0,0,1,1]
9.294073 7.156073 4.096073 @ 0.500000 C[0,0,1,1]
5.835073 7.967073 3.216073 @ 0.500000 C[0,0,1,1]
7.061073 7.788073 2.857073 @ 0.500000 C[0,0,1,1]
8.771073 8.218073 3.754073 @ 0.500000 C[0,0,1,1]
9.800073 8.094073 3.606073 @ 0.500000 C[0,0,1,1]
11.313073 8.073073 3.665073 @ 0.500000 C[0,0,1,1]
1.375073 9.039073 3.208073 @ 0.500000 C[0,0,1,1]
3.332073 8.912073 3.341073 @ 0.500000 C[0,0,1,1]
5.391073 8.720073 2.909073 @ 0.500000 C[0,0,1,1]
6.304073 8.765073 3.484073 @ 0.500000 C[0,0,1,1]
7.780073 9.285073 3.514073 @ 0.500000 C[0,0,1,1]
9.133073 9.075073 3.411073 @ 0.500000 C[0,0,1,1]
9.845073 9.689073 3.531073 @ 0.500000 C[0,0,1,1]
0.356073 9.832073 3.605073 @ 0.500000 C[0,0,1,1]
6.392073 9.861073 4.583073 @ 0.500000 C[0,0,1,1]
10.677073 9.749073 3.027073 @ 0.500000 C[0,0,1,1]
11.454073 10.258073 2.861073 @ 0.500000 C[0,0,1,1]
1.047073 10.412073 3.283073 @ 0.500000 C[0,0,1,1]
2.365073 10.154073 3.277073 @ 0.500000 C[0,0,1,1]
3.377073 10.669073 3.546073 @ 0.500000 C[0,0,1,1]
4.170073 10.286073 3.197073 @ 0.500000 C[0,0,1,1]
5.512073 9.937073 3.534073 @ 0.500000 C[0,0,1,1]
6.464073 10.470073 3.864073 @ 0.500000 C[0,0,1,1]
8.273073 10.340073 3.815073 @ 0.500000 C[0,0,1,1]
9.168073 10.251073 4.099073 @ 0.500000 C[0,0,1,1]
10.317073 10.592073 3.138073 @ 0.500000 C[0,0,1,1]
0.966073 11.260073 2.932073 @ 0.500000 C[0,0,1,1]
2.169073 11.405073 3.023073 @ 0.500000 C[0,0,1,1]
4.860073 11.297073 3.153073 @ 0.500000 C[0,0,1,1]
6.100073 11.397073 4.162073 @ 0.500000 C[0,0,1,1]
11.253073 11.198073 3.627073 @ 0.500000 C[0,0,1,1]
12.208073 11.128073 3.666073 @ 0.500000 C[0,0,1,1]
1.423073 12.116073 3.213073 @ 0.500000 C[0,0,1,1]
5.419073 11.974073 3.557073 @ 0.500000 C[0,0,1,1]
6.506073 12.212073 3.782073 @ 0.500000 C[0,0,1,1]
